(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\WinLogEventHandler.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  GMSC: --> initSubService
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  WinLogEventHandler
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  GmsService: sending message to EventManager
(6604)[2018-08-24 10:18:38.064767] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  CONF: <-- ChangeServiceState Status: 1
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  Configurator
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  Configurator
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  EventManager
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  EventManager::HandleAceMessage
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  EventManager::subscribe COMEventHandler for events
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GmsService: sending message to COMEventHandler
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GmsService: sending message - found destination service
